"__time","seller_id","client_id","device","sources","events","hour_key"
"2022-11-16T00:00:00.000Z","126","0162a07e-4ef6-192c-d891-f9e6717e070b","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","029adafd-f182-3d65-ba3b-87c80cab2c7e","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","048cb199-b59a-e766-6703-d9a69229795d","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","054eb0dd-0290-823e-360d-33d08290f6eb","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","05f3a247-c148-4060-8b60-9d00912ede8c","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","0a18e39f-9cd0-4a3d-8439-db1c88c7d5c3","mobile","pdp","2",""
"2022-11-16T00:00:00.000Z","126","0bce9fe2-d7a9-4803-80f3-191733d389d7","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","132684ec-ff53-5c8f-22bb-f18eaa197bf8","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","17993067-4358-fb06-ff9e-eeaffbd1cb70","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","17993067-4358-fb06-ff9e-eeaffbd1cb70","pc","store","1",""
"2022-11-16T00:00:00.000Z","126","19e7a1e6-bab2-6973-8ea7-9196b0e883ec","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","1afab064-40d7-eb72-0cc0-28c0a705fd7f","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","1b5e753d-9f40-4898-a527-53e8f7659989","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","1b8d2ad6-a1ce-4b48-a59c-5901f816f978","mobile","pdp","8",""
"2022-11-16T00:00:00.000Z","126","1b8d2ad6-a1ce-4b48-a59c-5901f816f978","mobile","store","5",""
"2022-11-16T00:00:00.000Z","126","1c507248-fcc7-e9c2-7e9e-a09151c12fd9","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","1ceb9b01-b6ae-4926-bed4-e4d09a655197","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","1f16bf18-f484-4741-a764-246d33808ad0","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","1f5aa152-a4d8-464e-a599-56fa6ec5fab7","mobile","pdp","6",""
"2022-11-16T00:00:00.000Z","126","20f36fdc-bc61-43aa-8ca0-e0265afcebd9","mobile","pdp","7",""
"2022-11-16T00:00:00.000Z","126","21264af8-8e44-486c-e3cf-3f9d8c6e9adb","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","225b6d6e-7505-4a1d-8704-3d250a006c7b","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","225b6d6e-7505-4a1d-8704-3d250a006c7b","mobile","store","1",""
"2022-11-16T00:00:00.000Z","126","22f05c4c-1567-e81a-e969-45a66a8e3994","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","230d2a65-5c68-493a-942a-e2aa4d30dfdf","mobile","store","1",""
"2022-11-16T00:00:00.000Z","126","27113942-1be0-effd-6158-e938fbd846f7","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","28bf04bf-ccf1-52f1-3e6e-d584ead75dc5","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","29681299-8388-ac6e-761e-e47a75f8d717","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","2a2080b4-ca60-febf-c730-771188954977","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","2a2080b4-ca60-febf-c730-771188954977","pc","store","2",""
"2022-11-16T00:00:00.000Z","126","2c6be99a-567f-4ded-b16d-fbfaf6f4c134","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","2e771f2d-7075-4576-8eb4-5e4acb55f932","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","2fd5ca90-6ed6-2948-2c32-80cfd0d04790","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","303a5ad3-069f-4803-9ec0-3d0b86f64b15","mobile","pdp","6",""
"2022-11-16T00:00:00.000Z","126","3131dad6-a349-53a6-b8e2-74c6a07373f1","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","31bbbf8a-7a07-4aac-a107-28b7dcf9f76a","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","32371901-41d3-4d31-6b50-00106e4a2b43","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","33b52b50-dc0e-15f5-b235-0757bd9df52e","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","33b52b50-dc0e-15f5-b235-0757bd9df52e","pc","store","1",""
"2022-11-16T00:00:00.000Z","126","37877d95-6260-b33a-df97-77f2ec993bb6","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","39b4f55b-b100-47d5-9cc1-636c0ddc626d","mobile","pdp","2",""
"2022-11-16T00:00:00.000Z","126","3c618e8f-04f0-4985-b158-fae8773e44de","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","3c83780d-b3ed-681b-4f15-77cd09aafad9","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","3ca59908-30dd-cdb9-2284-f73dd168e04a","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","3d244a44-57d6-9467-3999-f00d39c3fdb5","pc","pdp","1",""
"2022-11-16T00:00:00.000Z","126","3d8e34a9-f2e0-4780-9a6b-f8ae6040fe1d","mobile","pdp","1",""
"2022-11-16T00:00:00.000Z","126","407eb89f-ee68-4d45-a0e5-c69459595c39","mobile","pdp","4",""
"2022-11-16T00:00:00.000Z","126","41e0f8f7-61eb-a533-ea79-dec606000f4f","mobile","pdp","1",""
